marca,model,varianta,eea_inregistrari,eea_masa_mediana,eea_putere_mediana,eea_co2_mediana,abatere_masa_pct,abatere_putere_pct,abatere_co2_pct,status
Toyota,Camry,2.5 Hybrid 218,333,1645.0,137.0,110.0,-3.0,-4.4,9.1,DE VERIFICAT manual
Toyota,Highlander,2.5 Hybrid 248 AWD-i,72,2130.0,140.0,159.0,-5.4,0.0,-8.2,DE VERIFICAT manual
Toyota,Yaris GR SPORT,1.5 Hybrid 130,0,,,,,,,NEGĂSIT în EEA (model non-UE sau denumire diferită)
Lexus,LBX,1.5 Hybrid 136 FWD,85,1355.0,67.0,104.0,-5.5,0.0,2.9,OK
Lexus,LBX,1.5 Hybrid 136 AWD,85,1355.0,67.0,104.0,0.0,0.0,7.7,OK
Lexus,UX,250h FWD,23,1630.0,112.0,127.0,-5.5,0.0,0.0,OK
Lexus,UX,300h AWD,23,1630.0,112.0,127.0,-0.6,0.0,-6.3,OK
Lexus,NX,350h AWD,158,2065.0,136.0,152.0,0.0,2.9,-15.1,DE VERIFICAT manual
Lexus,NX,450h+ PHEV AWD,6459,2065.0,136.0,22.0,-3.6,0.0,-4.5,OK
Lexus,RX,350h AWD,102,2185.0,136.0,148.0,-6.9,2.9,-5.4,DE VERIFICAT manual
Lexus,RX,450h+ PHEV AWD,2110,2185.0,136.0,25.0,-1.1,0.0,0.0,OK
Lexus,RX,500h AWD performance,55,2180.0,200.0,184.0,-3.0,1.0,-11.4,DE VERIFICAT manual
Lexus,ES,300h,26,1755.0,131.0,121.0,-4.3,0.0,-1.7,OK
Lexus,IS,300h,1,1695.0,133.0,,-4.4,-1.5,,DE VERIFICAT manual
Lexus,LC,500h,35,2180.0,200.0,184.0,0.0,10.0,0.0,OK
Lexus,LS,500h AWD,35,2180.0,200.0,184.0,4.1,10.0,-3.3,OK
Lexus,LM,350h AWD,3,2420.0,140.0,163.0,-5.8,0.0,-3.1,OK
Renault,Clio,E-Tech full hybrid 145,567,1348.0,69.0,96.0,-6.7,0.0,0.0,DE VERIFICAT manual
Renault,Captur,E-Tech full hybrid 145,683,1441.0,80.0,108.0,-6.5,-13.8,-2.8,DE VERIFICAT manual
Renault,Arkana,E-Tech full hybrid 145,1058,1422.0,103.0,130.0,0.9,-33.0,0.0,OK
Renault,Symbioz,E-Tech full hybrid 145,544,1498.0,69.0,107.0,-5.9,0.0,0.9,OK
Renault,Austral,E-Tech full hybrid 200,421,1592.0,96.0,107.0,-4.7,0.0,-1.9,OK
Renault,Espace,E-Tech full hybrid 200,0,,,,,,,NEGĂSIT în EEA (model non-UE sau denumire diferită)
Renault,Rafale,E-Tech full hybrid 200,184,1742.0,96.0,112.5,15.3,0.0,-0.4,DE VERIFICAT manual
Renault,Rafale,E-Tech 4x4 300 PHEV,9528,2009.0,110.0,14.0,-2.7,0.0,0.0,OK
Renault,Megane,E-Tech PHEV 160,2,1676.0,67.0,28.0,-3.6,1.5,0.0,OK
Renault,Captur,E-Tech PHEV 160,683,1441.0,80.0,108.0,0.0,-15.0,0.0,OK
Dacia,Bigster,Hybrid 155,3492,1494.0,80.0,106.0,0.0,0.0,3.8,OK
Dacia,Duster,Hybrid 140,10921,1455.0,96.0,124.0,-4.2,-28.1,-8.1,DE VERIFICAT manual
Dacia,Jogger,Hybrid 140,387,1460.0,69.0,107.0,-4.5,0.0,4.7,OK
Nissan,Qashqai,e-POWER 190,621,1465.0,116.0,144.0,0.0,0.0,0.0,OK
Nissan,X-Trail,e-POWER 204 2WD,165,1929.0,116.0,143.0,-6.9,0.0,-7.7,DE VERIFICAT manual
Nissan,X-Trail,e-POWER 213 e-4ORCE,165,1929.0,116.0,143.0,-1.0,0.0,0.0,OK
Nissan,Juke,Hybrid 143,134,1405.0,69.0,109.0,-4.6,0.0,-4.6,OK
Honda,Jazz,e:HEV 1.5 122,39,1314.0,79.0,106.0,-4.7,-8.9,-3.8,OK
Honda,Jazz Crosstar,e:HEV 1.5 122,0,,,,,,,NEGĂSIT în EEA (model non-UE sau denumire diferită)
Honda,Civic,e:HEV 2.0 184,192,1533.0,105.0,113.0,0.0,0.0,-4.4,OK
Honda,HR-V,e:HEV 1.5 131,239,1452.0,79.0,122.0,-5.0,0.0,0.0,OK
Honda,ZR-V,e:HEV 2.0 184,111,1675.0,105.0,131.0,-5.1,0.0,-0.8,OK
